Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
88,-2.5,3.33E-02,5.84E-02,8.89E-02,9.66E-02,7.34E-02,3.68E-02,2.00E-02,1.14E-02,9.06E-03,9.72E-03,1.31E-02,1.90E-02
87,-3.5,1.87E-03,3.46E-03,5.34E-03,6.88E-03,5.01E-03,2.01E-03,1.08E-03,7.06E-04,5.72E-04,6.00E-04,7.26E-04,9.87E-04
86,-4.5,1.83E-03,2.19E-03,3.65E-03,5.35E-03,4.42E-03,1.88E-03,1.12E-03,7.20E-04,5.66E-04,6.33E-04,1.61E-03,2.05E-03
85,-5.5,5.10E-02,4.18E-02,4.02E-02,4.36E-02,4.46E-02,4.03E-02,3.40E-02,3.24E-02,3.77E-02,4.47E-02,5.36E-02,5.84E-02
84,-6.5,1.12E-03,2.08E-03,3.55E-03,4.05E-03,2.92E-03,1.28E-03,5.84E-04,1.94E-04,1.16E-04,1.63E-04,2.63E-04,5.23E-04
83,-7.5,5.77E-06,3.16E-05,1.15E-04,2.47E-04,1.41E-04,9.59E-05,1.41E-04,4.88E-05,2.09E-05,8.42E-06,5.54E-06,5.13E-06
82,-8.5,7.25E-05,8.67E-05,2.15E-04,4.14E-04,4.15E-04,4.76E-04,6.99E-04,4.30E-04,2.79E-04,1.66E-04,9.26E-05,7.41E-05
81,-9.5,4.53E-05,5.61E-05,7.63E-05,1.14E-04,1.67E-04,2.01E-04,2.57E-04,1.95E-04,1.29E-04,8.20E-05,6.18E-05,5.20E-05
80,-10.5,4.29E-03,4.95E-03,5.29E-03,4.93E-03,3.51E-03,2.44E-03,2.23E-03,1.98E-03,1.88E-03,1.86E-03,2.07E-03,3.20E-03
79,-11.5,5.13E-05,6.25E-05,1.43E-04,1.49E-04,2.30E-04,2.03E-04,1.65E-04,1.27E-04,6.65E-05,5.29E-05,3.63E-05,8.40E-05
78,-12.5,4.48E-04,4.11E-04,5.58E-04,5.15E-04,5.23E-04,4.28E-04,3.75E-04,2.55E-04,1.73E-04,2.76E-04,2.55E-04,3.71E-04
77,-13.5,2.16E-04,2.36E-04,2.54E-04,2.76E-04,2.52E-04,2.96E-04,3.37E-04,2.94E-04,2.48E-04,2.24E-04,2.33E-04,2.51E-04
76,-14.5,2.80E-04,3.65E-04,6.11E-04,5.33E-04,3.62E-04,3.18E-04,3.06E-04,2.63E-04,2.16E-04,2.31E-04,3.57E-04,3.86E-04
75,-15.5,1.05E-04,1.87E-04,2.52E-04,2.37E-04,1.54E-04,1.26E-04,9.89E-05,8.79E-05,7.62E-05,8.52E-05,1.54E-04,1.78E-04
74,-16.5,1.14E-03,1.08E-03,1.30E-03,9.64E-04,6.40E-04,5.40E-04,4.92E-04,4.41E-04,4.14E-04,6.04E-04,8.43E-04,1.09E-03
73,-17.5,3.34E-04,3.31E-04,3.05E-04,2.65E-04,1.91E-04,1.64E-04,1.64E-04,1.37E-04,1.17E-04,1.67E-04,3.07E-04,3.35E-04
72,-18.5,2.93E-04,2.96E-04,2.87E-04,2.35E-04,1.78E-04,1.53E-04,1.40E-04,1.26E-04,1.16E-04,1.39E-04,2.27E-04,2.92E-04
71,-19.5,2.56E-03,2.06E-03,1.78E-03,1.47E-03,1.11E-03,9.60E-04,8.82E-04,7.75E-04,7.28E-04,9.66E-04,1.60E-03,2.18E-03
70,-20.5,5.26E-04,3.19E-04,3.35E-04,3.30E-04,2.63E-04,2.20E-04,2.26E-04,1.95E-04,1.84E-04,2.20E-04,4.51E-04,5.38E-04
69,-21.5,2.12E-03,1.94E-03,1.74E-03,1.28E-03,9.15E-04,7.61E-04,6.60E-04,5.67E-04,5.60E-04,6.66E-04,1.06E-03,1.66E-03
68,-22.5,5.44E-04,4.80E-04,4.66E-04,4.16E-04,3.43E-04,3.76E-04,3.78E-04,3.80E-04,4.07E-04,4.14E-04,4.31E-04,4.88E-04
67,-23.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
66,-24.5,2.63E-03,2.77E-03,2.88E-03,2.21E-03,1.81E-03,1.73E-03,1.52E-03,1.33E-03,1.65E-03,1.74E-03,1.72E-03,1.91E-03
65,-25.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
64,-26.5,1.05E-03,1.28E-03,1.10E-03,7.84E-04,8.25E-04,8.51E-04,9.03E-04,1.04E-03,1.20E-03,1.26E-03,1.01E-03,8.84E-04
63,-27.5,3.31E-04,3.76E-04,2.69E-04,2.24E-04,2.33E-04,2.21E-04,2.86E-04,2.54E-04,2.83E-04,2.81E-04,2.55E-04,2.53E-04
